Date/Time,Electricity:Facility [J](TimeStep),ElectricityNet:Facility [J](TimeStep),Gas:Facility [J](TimeStep) 
 07/24  18:40:00,1539365.4068007868,1539365.4068007868,0.0 
 07/24  18:50:00,1543433.4940045325,1543433.4940045323,0.0 
 07/24  19:00:00,1547772.5176284523,1547772.517628452,0.0 
 07/24  19:10:00,1373345.825231125,1373345.825231125,0.0 
 07/24  19:20:00,1390274.103766269,1390274.1037662689,0.0 
 07/24  19:30:00,1402184.2534067515,1402184.253406751,0.0 
 07/24  19:40:00,1408158.1934105093,1408158.1934105093,0.0 
 07/24  19:50:00,1976415.1518038589,1976415.1518038586,0.0 
 07/24  20:00:00,1976415.1518038589,1976415.1518038589,0.0 
 07/24  20:10:00,1976415.1518038589,1976415.1518038589,0.0 
 07/24  20:20:00,1976415.1518038589,1976415.1518038589,0.0 
 07/24  20:30:00,1976415.1518038589,1976415.1518038586,0.0 
 07/24  20:40:00,1976415.1518038589,1976415.1518038586,0.0 
 07/24  20:50:00,1976415.1518038589,1976415.1518038586,0.0 
 07/24  21:00:00,1976415.1518038589,1976415.1518038586,0.0 
 07/24  21:10:00,1787186.679486109,1787186.6794861088,0.0 
 07/24  21:20:00,1787186.679486109,1787186.6794861088,0.0 
 07/24  21:30:00,1787186.679486109,1787186.6794861088,0.0 
 07/24  21:40:00,1787186.679486109,1787186.6794861088,0.0 
 07/24  21:50:00,1787186.679486109,1787186.6794861088,0.0 
 07/24  22:00:00,1787186.679486109,1787186.6794861088,0.0 
 07/24  22:10:00,1732412.9026535915,1732412.9026535915,0.0 
 07/24  22:20:00,1732412.9026535915,1732412.9026535915,0.0 
 07/24  22:30:00,1732412.9026535915,1732412.9026535915,0.0 
 07/24  22:40:00,1732412.9026535915,1732412.9026535915,0.0 
 07/24  22:50:00,1732412.9026535915,1732412.9026535915,0.0 
 07/24  23:00:00,1732412.9026535915,1732412.9026535915,0.0 
 07/24  23:10:00,2057674.007499002,2057674.007499002,0.0 
 07/24  23:20:00,2057674.007499002,2057674.007499002,0.0 
 07/24  23:30:00,2057674.007499002,2057674.007499002,0.0 
 07/24  23:40:00,2057674.007499002,2057674.007499002,0.0 
 07/24  23:50:00,2057674.007499002,2057674.007499002,0.0 
